contradiction,t,h
NO,"An explosion at a historic synagogue in Tunisia left 21 dead, including 14 German tourists.",A European synagogue was not the target of an act of terrorism.
NO,"Government subsidies for energy and raw materials held prices at artificially low levels, doing away with incentives to conserve natural resources.",The government did not take measures to protect the environment.
NO,"In the US anxiety disorders are relatively widespread, affecting 15-17% of the adult population in any given year.",Agoraphobia is not a widespread disorder.
NO,The most effective way to reduce pollution is to have the government sell its properties to private companies who will safeguard their future value.,The government did not take measures to reduce pollution.
NO,It is fairly clear that Microsoft is the dominant firm in the market for computer operating systems.,Microsoft does not hold a monopoly power on computer systems.
NO,The Explorer has compiled a list of 15 avalanches that have occurred since 1975. All but two were triggered by humans: 10 by ice climbers or snowshoers and three by skiers.,No humans died in an avalanche.
NO,"According to Greenpeace France, the French government blocked debates for the past three years on creation of an Agency of Maritime Control.",The government did not take measures to protect the environment.
NO,"The al-Salam 95 had been waiting to enter the port, following its journey from Jeddah, when the two ships collided.",No people were killed in a collision between ships.
NO,"Thanks to this network, an increase in the gas and smoke emanating from Soufriere and the appearance of a significant acid phase have been observed since early 1998.",There was no increase in volcanic and seismic activity.
NO,Startled East Coast residents from North Carolina to Maryland were shaken Tuesday by an earthquake that registered a preliminary magnitude of 4.5.,No earthquake occurred on the east coast of Hokkaido.
NO,"Weak fumarolic activity was observed, and no volcanic activity was visible on satellite imagery during the report week.",There was not an increase in volcanic activity
NO,"On July 12, 1993, a magnitude 7.8 earthquake occurred off the west coast of Hokkaido and the small offshore island of Okushiri in the Sea of Japan.",No earthquake occurred on the east coast of Hokkaido in 1994.
NO,"Latvia grudgingly agreed to let Russia keep the Skrunda radar; the Russians switched it off in 1998, then had 18 months to dismantle it.",Russian troops did not withdraw from Latvia.
NO,The goal of preserving indigenous culture can hardly be achieved by a handful of researchers and curators at museums of ethnology and folk culture.,Indigenous folk art is not preserved.
NO,The switch is part of a trend which Deloitte Research reckons will result in 2m of the 13m jobs in financial services in developed economies moving to India by 2008.,Jobs were not outsourced to India.
NO,This model allows for different levels of training to be offered to the various skill levels of soldiers that will be operating and maintaining a particular system.,Soldiers are not trained using virtual reality.
NO,Generally the coffee or tea drinker feels worse in just a few short minutes after finishing the drink.,Tea does not protect from illness.
NO,"In the early 20th century, agoraphobia, or the fear of public spaces, saw a transformation in its demographic composition. The disease's early history can be characterized as a predominantly male disorder where the majority of patients diagnosed with the disease were white, middle-class men.",Agoraphobia is not a widespread disorder.
NO,These folk art traditions have been preserved for hundreds of years.,Indigenous folk art is not preserved.
NO,"If this can be confirmed, it may be possible to develop substances that could combat schizophrenia by neutralizing the schizophrenia antibodies.",Drugs are not used to combat schizophrenia.
NO,"That department, a co-manager of shipwrecks with the other two, has also attempted to address its shipwreck responsibilities since the early '70s.",Shipwreck salvaging was not attempted.
NO,"The flagship ""Atocha"" and eight other ships loaded with treasures went down, together with the crews of 550.",People were not killed in a collision between ships.
NO,The United States has threatened to end U.N. peacekeeping in Bosnia unless American personnel are given immunity from prosecution by the new international war-crimes tribunal.,U.N. peacekeeping forces did not withdraw from Bosnia.
NO,"While they did not find any association between cancer rates and consumption of caffeinated coffee or tea, people who regularly drank two or more cups per day of decaffeinated coffee had about half the incidence of rectal cancer as those who never drank decaf.",Tea protects from no diseases.
NO,"Even today, within the deepest recesses of our mind, lies a primordial fear that will not allow us to enter the sea without thinking about the possibility of being attacked by a shark.",No shark attacked a human being.
NO,"The head of the US Democratic Party has lambasted Mankiw, and suggested that he be outsourced to India.",Jobs were not outsourced to India.
NO,"At the recent 13th Annual Medicine Meets Virtual Reality Conference in Long Beach, Calif., researchers discussed the development of new technologies using virtual reality to treat soldiers returning from Iraq with posttraumatic stress disorder and to provide those being deployed with stress inoculation training.",Soldiers are not trained using virtual reality.
NO,"The nightmare of human disaster in Rwanda in 1994, after UN Peacekeeping Forces withdrew, shocked us into questioning the whole concept of peacekeeping.",UN peacekeeping forces did not withdraw from Bosnia.
NO,Antiemetic drugs are drugs used to combat nausea and vomiting.,Drugs are not used to combat schizophrenia.
NO,A head-on collision between a Dhaka bound bus and a motorcycle left three people dead at Gangabardi area on the Faridpur-Khulna Highway on September 26.,People were never killed in a collision between ships.
